Country,Bahrain,Iraq,Lebanon,Saudi Arabia,Yemen
Attack 1,4/24/2012,1/5/2012,4/4/2012,11/5/2012,1/11/2012
Attack 2,8/22/2012,2/23/2012,7/5/2012,,2/25/2012
Attack 3,10/20/2012,3/20/2012,8/15/2012,,3/4/2012
Attack 4,11/5/2012,4/19/2012,10/3/2012,,3/14/2012
Attack 5,11/7/2012,6/13/2012,10/6/2012,,3/18/2012
Attack 6,11/28/2012,7/23/2012,10/19/2012,,3/28/2012
Attack 7,,8/16/2012,,,4/21/2012
Attack 8,,9/9/2012,,,5/21/2012
Attack 9,,12/17/2012,,,6/18/2012
Attack 10,,,,,7/11/2012
Attack 11,,,,,7/16/2012
Attack 12,,,,,8/5/2012
Attack 13,,,,,8/18/2012
Attack 14,,,,,8/19/2012
Attack 15,,,,,9/11/2012
Attack 16,,,,,9/13/2012
Attack 17,,,,,10/30/2012
Attack 18,,,,,11/2/2012
Attack 19,,,,,11/24/2012
Attack 20,,,,,11/28/2012
Attack 21,,,,,12/8/2012
Attack 22,,,,,12/10/2012
Attack 23,,,,,12/11/2012
